PropAge1,PropAge2,PropAge3
0.015984016,0.823176823,0.160839161
0.00087146,0.910675381,0.087145969
0.01,0.922018349,0.075688073
0.017350158,0.701892744,0.280757098
0.000720461,0.976224784,0.023054755
0.015496809,0.78213309,0.2023701
0.122377622,0.408508159,0.467365967
0.006570302,0.862023653,0.128777924
0.048042705,0.532918149,0.412811388
0.015974441,0.809904153,0.167731629
0.033696729,0.7839445,0.182358771
0.003898635,0.807667316,0.187134503
0.001068376,0.66025641,0.332264957
0.00443459,0.521064302,0.472283814
